連番	検索語	ファイル名	表示件数	折りたたみ件数	区分B件数	区分A件数	区分C件数	即決価格なし件数
1	SONY DSC-HX7V	p2a_list_001.html	8	155	69	79	0	7
2	YAMAHA YFL-211	p2a_list_002.html	3	194	5	166	0	23
3	Meze Audio M99C	p2a_list_003.html	0	34	11	23	0	0
4	Pioneer Carrozzeria DEH-P01	p2a_list_004.html	10	18	17	0	0	1
5	8N41-5160	p2a_list_005.html	2	17	0	16	0	1
6	BVLGARI AL38TA	p2a_list_006.html	12	11	2	6	0	3
7	ICOM AT-180	p2a_list_007.html	2	6	0	5	0	1
8	YAMAHA YTR-4335GS	p2a_list_008.html	0	5	1	3	0	1
9	7T92-0DW0	p2a_list_009.html	17	114	1	83	0	30
10	PS3 CECH-2500A	p2a_list_010.html	14	168	92	15	0	61
11	シャトーバカラ ワイングラス	p2a_list_011.html	24	118	50	52	0	16
12	Roland SPD-SX	p2a_list_012.html	1	19	8	11	0	0
13	Canon Autoboy S	p2a_list_013.html	2	192	11	146	0	35
14	Sony MZ-N910	p2a_list_014.html	4	32	7	19	0	6
15	3DS LL ピカチュウ	p2a_list_015.html	15	154	25	123	0	6
16	ALPINE iDA-X305	p2a_list_016.html	0	4	0	3	0	1
17	デスノート 全巻	p2a_list_017.html	27	144	60	66	0	18
18	Omega 2511.81	p2a_list_018.html	0	47	3	43	0	1
19	Gucci 9040L	p2a_list_019.html	23	58	1	49	0	8
20	Keyence GT2-S5	p2a_list_020.html	2	2	0	2	0	0
21	Hori HSS-07	p2a_list_021.html	1	14	0	14	0	0
22	ペリカン スーベレーン M600	p2a_list_022.html	2	91	14	73	0	4
23	Contax S2	p2a_list_023.html	12	99	47	39	0	13
24	OP-Z Teenage Engineering	p2a_list_024.html	7	13	8	4	0	1
25	Seiko 4402-8000	p2a_list_025.html	58	113	3	103	0	7
26	L4.720.2	p2a_list_026.html	1	22	1	16	0	5
27	YAMAHA YAS-32	p2a_list_027.html	4	30	8	15	0	7
28	ニーア オートマタ ブラックボックス	p2a_list_028.html	11	44	34	4	0	6
29	Sigma 85mm F1.4 Nikon	p2a_list_029.html	0	43	3	39	0	1
30	Topcon GTS-3	p2a_list_030.html	0	24	7	6	0	11
31	CASIO G-SHOCK GMW-B5000GD-1JF	p2a_list_031.html	1	35	5	28	0	2
32	シマノ 22ビーストマスター9000	p2a_list_032.html	0	31	11	20	0	0
33	Fujifilm X-H2S	p2a_list_033.html	16	168	148	15	0	5
34	モンブラン ケネディ スペシャル	p2a_list_034.html	0	16	0	16	0	0
35	ティアーズ オブ ザ キングダム サウンドトラック	p2a_list_035.html	0	59	4	55	0	0
36	ZOTAC ZT-T16520F-10L	p2a_list_036.html	0	1	0	1	0	0
37	SONY PCM-D100	p2a_list_037.html	3	21	11	10	0	0
38	オメガ デビル 1430	p2a_list_038.html	1	8	1	5	0	2
39	5606-7070	p2a_list_039.html	16	57	9	27	0	21
40	Sony a900	p2a_list_040.html	21	164	96	62	0	6
41	ROLAND AE-20	p2a_list_041.html	2	14	7	6	0	1
42	Roland GR-20	p2a_list_042.html	0	25	5	20	0	0
43	SONY DSC-WX350	p2a_list_043.html	22	163	21	109	0	33
44	Korg KROSS 2	p2a_list_044.html	1	51	17	33	0	1
45	MAX HN90N1	p2a_list_045.html	0	2	0	1	0	1
46	Behringer HA4700	p2a_list_046.html	0	14	0	14	0	0
47	Leica DISTO S910	p2a_list_047.html	3	4	2	1	0	1
48	PLINIO VISONA Bag	p2a_list_048.html	0	152	52	95	0	5
49	Canon IXY 210F	p2a_list_049.html	9	188	49	121	0	18
50	figma 泉こなた 冬服	p2a_list_050.html	0	12	1	10	0	1
51	OPPO BDP-95	p2a_list_051.html	0	4	1	3	0	0
52	GUCCI 3000.2.M	p2a_list_052.html	11	46	15	19	0	12
53	SONY DSC-F77	p2a_list_053.html	40	59	23	25	0	11
