連番	検索語	ファイル名	表示件数	折りたたみ件数	区分B件数	区分A件数	区分C件数	即決価格なし件数
1	カワサキ フューエルポンプ ZZ-R1200	p2a_list_001.html	5	0	0	0	0	0
2	XBOX 360 ギアーズオブウォー 3 リミテッド	p2a_list_002.html	1	10	9	1	0	0
3	コトブキヤ MY LITTLE PONYレインボーダッシュ	p2a_list_003.html	0	4	3	1	0	0
4	BIOPTRON Pro1	p2a_list_004.html	4	14	0	14	0	0
5	Leica M5	p2a_list_005.html	35	157	99	32	0	26
6	バカラ 花瓶 ディーバ	p2a_list_006.html	0	8	0	8	0	0
7	S.H.Figuarts クウラ最終形態	p2a_list_007.html	0	150	6	138	0	6
8	Wacom CTL-480	p2a_list_008.html	0	68	9	58	0	1
9	Yamaha NS-10M	p2a_list_009.html	42	145	37	81	0	27
10	PG ウイングガンダムゼロカスタム	p2a_list_010.html	1	111	52	48	0	11
11	ミニキャブ テンショナー ウォーターポンプ	p2a_list_011.html	0	173	29	144	0	0
12	ROLEX 16600	p2a_list_012.html	24	158	37	117	0	4
13	Tascam Porta 05	p2a_list_013.html	5	8	3	0	0	5
14	ゼノブレイド3 サウンドトラック 限定盤	p2a_list_014.html	2	17	0	17	0	0
15	YAMAHA MD4S	p2a_list_015.html	3	40	1	36	0	3
16	Pico Neo3	p2a_list_016.html	1	2	1	1	0	0
17	BOSS BR-900CD	p2a_list_017.html	1	8	0	6	0	2
18	Bayonetta Climax Edition Switch	p2a_list_018.html	0	38	7	31	0	0
19	Sony IER-M7	p2a_list_019.html	24	31	13	18	0	0
20	NANOTE NEXT UMPC-03-SR	p2a_list_020.html	0	15	14	1	0	0
21	SONY PXW-FS7M2	p2a_list_021.html	1	17	5	10	0	2
22	SONY NW-A307	p2a_list_022.html	4	88	72	14	0	2
23	G-Shock DW-6900	p2a_list_023.html	2	193	6	155	0	32
24	フェンディ マンマバケット ショルダーバッグ	p2a_list_024.html	0	195	22	131	0	42
25	ニーア レプリカント White Snow Edition	p2a_list_025.html	4	43	8	34	0	1
26	Wacom KP 503E	p2a_list_026.html	4	11	4	7	0	0
27	Denon AU-300LC	p2a_list_027.html	0	22	3	13	0	6
28	PENTAX Q7	p2a_list_028.html	3	191	55	123	0	13
29	SENNHEISER HD 660S	p2a_list_029.html	48	87	25	60	0	2
30	Yamaha YTR-2320E	p2a_list_030.html	0	13	0	7	0	6
31	BENQ HT2150ST	p2a_list_031.html	1	0	0	0	0	0
32	Brother KH-360	p2a_list_032.html	0	1	0	1	0	0
33	Zoom H6	p2a_list_033.html	22	156	44	100	0	12
34	Vestax PDX-2000	p2a_list_034.html	3	49	25	16	0	8
35	Zoom F2-BT	p2a_list_035.html	4	25	9	16	0	0
36	Sennheiser MKE600	p2a_list_036.html	1	15	10	5	0	0
37	GPD POCKET	p2a_list_037.html	9	179	169	8	0	2
38	ニンテンドーDSi マリオ25周年	p2a_list_038.html	3	82	18	59	0	5
39	KOITO 47-95	p2a_list_039.html	3	4	0	4	0	0
40	BenQ TH671ST	p2a_list_040.html	3	4	0	4	0	0
41	Sony CUHJ-16010	p2a_list_041.html	1	3	0	3	0	0
42	Pioneer CDJ-400	p2a_list_042.html	1	28	7	15	0	6
43	Canon 9000F	p2a_list_043.html	5	191	132	47	0	12
44	Seiko 9581-7000	p2a_list_044.html	1	12	0	12	0	0
45	Tech 21 Sansamp DI	p2a_list_045.html	0	85	3	77	0	5
46	Panasonic FZ-M1	p2a_list_046.html	113	19	16	3	0	0
47	Finalmouse UltralightX Guardian	p2a_list_047.html	1	2	1	1	0	0
48	GPD Pocket 2	p2a_list_048.html	2	106	99	5	0	2
49	ZOOM LiveTrak L-8	p2a_list_049.html	3	14	8	4	0	2
